#Vg1	Vg1m	Ileak1	Vg2	Vg2m	Ileak2	Vds	Vdsm	Rs
-1.0	1503909758.51	-15039.0975951	0.0	1503909758.51	-15039.0975851	0.01	1503909758.51	-2200.00000001
-0.98	1503909759.02	-15039.0976	0.0	1503909759.02	-15039.0975902	0.01	1503909759.02	-2200.00000001
-0.96	1503909759.52	-15039.0976048	0.0	1503909759.52	-15039.0975952	0.01	1503909759.52	-2200.00000001
-0.94	1503909760.02	-15039.0976096	0.0	1503909760.02	-15039.0976002	0.01	1503909760.02	-2200.00000001
-0.92	1503909760.52	-15039.0976144	0.0	1503909760.52	-15039.0976052	0.01	1503909760.52	-2200.00000001
-0.9	1503909761.02	-15039.0976192	0.0	1503909761.02	-15039.0976102	0.01	1503909761.02	-2200.00000001
-0.88	1503909761.52	-15039.097624	0.0	1503909761.52	-15039.0976152	0.01	1503909761.52	-2200.00000001
-0.86	1503909762.02	-15039.0976288	0.0	1503909762.02	-15039.0976202	0.01	1503909762.02	-2200.00000001
-0.84	1503909762.52	-15039.0976336	0.0	1503909762.52	-15039.0976252	0.01	1503909762.52	-2200.00000001
-0.82	1503909763.02	-15039.0976384	0.0	1503909763.02	-15039.0976302	0.01	1503909763.02	-2200.00000001
-0.8	1503909763.52	-15039.0976432	0.0	1503909763.52	-15039.0976352	0.01	1503909763.52	-2200.00000001
-0.78	1503909764.02	-15039.097648	0.0	1503909764.02	-15039.0976402	0.01	1503909764.02	-2200.00000001
-0.76	1503909764.52	-15039.0976528	0.0	1503909764.52	-15039.0976452	0.01	1503909764.52	-2200.00000001
-0.74	1503909765.02	-15039.0976576	0.0	1503909765.02	-15039.0976502	0.01	1503909765.02	-2200.00000001
-0.72	1503909765.52	-15039.0976624	0.0	1503909765.52	-15039.0976552	0.01	1503909765.52	-2200.00000001
-0.7	1503909766.02	-15039.0976672	0.0	1503909766.02	-15039.0976602	0.01	1503909766.02	-2200.00000001
-0.68	1503909766.52	-15039.097672	0.0	1503909766.52	-15039.0976652	0.01	1503909766.52	-2200.00000001
-0.66	1503909767.02	-15039.0976768	0.0	1503909767.02	-15039.0976702	0.01	1503909767.02	-2200.00000001
-0.64	1503909767.52	-15039.0976816	0.0	1503909767.52	-15039.0976752	0.01	1503909767.52	-2200.00000001
-0.62	1503909768.02	-15039.0976864	0.0	1503909768.02	-15039.0976802	0.01	1503909768.02	-2200.00000001
-0.6	1503909768.52	-15039.0976912	0.0	1503909768.52	-15039.0976852	0.01	1503909768.52	-2200.00000001
-0.58	1503909769.02	-15039.097696	0.0	1503909769.02	-15039.0976902	0.01	1503909769.02	-2200.00000001
-0.56	1503909769.52	-15039.0977008	0.0	1503909769.52	-15039.0976952	0.01	1503909769.52	-2200.00000001
-0.54	1503909770.02	-15039.0977056	0.0	1503909770.02	-15039.0977002	0.01	1503909770.02	-2200.00000001
-0.52	1503909770.52	-15039.0977104	0.0	1503909770.52	-15039.0977052	0.01	1503909770.52	-2200.00000001
-0.5	1503909771.02	-15039.0977152	0.0	1503909771.02	-15039.0977102	0.01	1503909771.02	-2200.00000001
-0.48	1503909771.52	-15039.09772	0.0	1503909771.52	-15039.0977152	0.01	1503909771.52	-2200.00000001
-0.46	1503909772.02	-15039.0977248	0.0	1503909772.02	-15039.0977202	0.01	1503909772.02	-2200.00000001
-0.44	1503909772.52	-15039.0977296	0.0	1503909772.52	-15039.0977252	0.01	1503909772.52	-2200.00000001
-0.42	1503909773.02	-15039.0977344	0.0	1503909773.02	-15039.0977302	0.01	1503909773.02	-2200.00000001
-0.4	1503909773.52	-15039.0977392	0.0	1503909773.52	-15039.0977352	0.01	1503909773.52	-2200.00000001
-0.38	1503909774.02	-15039.097744	0.0	1503909774.02	-15039.0977402	0.01	1503909774.02	-2200.00000001
-0.36	1503909774.52	-15039.0977488	0.0	1503909774.52	-15039.0977452	0.01	1503909774.52	-2200.00000001
-0.34	1503909775.02	-15039.0977536	0.0	1503909775.02	-15039.0977502	0.01	1503909775.02	-2200.00000001
-0.32	1503909775.52	-15039.0977584	0.0	1503909775.52	-15039.0977552	0.01	1503909775.52	-2200.00000001
-0.3	1503909776.02	-15039.0977632	0.0	1503909776.02	-15039.0977602	0.01	1503909776.02	-2200.00000001
-0.28	1503909776.52	-15039.097768	0.0	1503909776.52	-15039.0977652	0.01	1503909776.52	-2200.00000001
-0.26	1503909777.02	-15039.0977728	0.0	1503909777.02	-15039.0977702	0.01	1503909777.02	-2200.00000001
-0.24	1503909777.52	-15039.0977776	0.0	1503909777.52	-15039.0977752	0.01	1503909777.52	-2200.00000001
-0.22	1503909778.02	-15039.0977824	0.0	1503909778.02	-15039.0977802	0.01	1503909778.02	-2200.00000001
-0.2	1503909778.53	-15039.0977873	0.0	1503909778.53	-15039.0977853	0.01	1503909778.53	-2200.00000001
-0.18	1503909779.03	-15039.0977921	0.0	1503909779.03	-15039.0977903	0.01	1503909779.03	-2200.00000001
-0.16	1503909779.53	-15039.0977969	0.0	1503909779.53	-15039.0977953	0.01	1503909779.53	-2200.00000001
-0.14	1503909780.03	-15039.0978017	0.0	1503909780.03	-15039.0978003	0.01	1503909780.03	-2200.00000001
-0.12	1503909780.53	-15039.0978064	0.0	1503909780.53	-15039.0978053	0.01	1503909780.53	-2200.00000001
-0.1	1503909781.03	-15039.0978112	0.0	1503909781.03	-15039.0978103	0.01	1503909781.03	-2200.00000001
-0.08	1503909781.53	-15039.097816	0.0	1503909781.53	-15039.0978153	0.01	1503909781.53	-2200.00000001
-0.06	1503909782.03	-15039.0978209	0.0	1503909782.03	-15039.0978203	0.01	1503909782.03	-2200.00000001
-0.04	1503909782.53	-15039.0978257	0.0	1503909782.53	-15039.0978253	0.01	1503909782.53	-2200.00000001
-0.02	1503909783.03	-15039.0978305	0.0	1503909783.03	-15039.0978303	0.01	1503909783.03	-2200.00000001
0.0	1503909783.53	-15039.0978353	0.0	1503909783.53	-15039.0978353	0.01	1503909783.53	-2200.00000001
0.02	1503909784.03	-15039.0978401	0.0	1503909784.03	-15039.0978403	0.01	1503909784.03	-2200.00000001
0.04	1503909784.53	-15039.0978449	0.0	1503909784.53	-15039.0978453	0.01	1503909784.53	-2200.00000001
0.06	1503909785.03	-15039.0978497	0.0	1503909785.03	-15039.0978503	0.01	1503909785.03	-2200.00000001
0.08	1503909785.53	-15039.0978545	0.0	1503909785.53	-15039.0978553	0.01	1503909785.53	-2200.00000001
0.1	1503909786.03	-15039.0978593	0.0	1503909786.03	-15039.0978603	0.01	1503909786.03	-2200.00000001
0.12	1503909786.53	-15039.0978641	0.0	1503909786.53	-15039.0978653	0.01	1503909786.53	-2200.00000001
0.14	1503909787.03	-15039.0978689	0.0	1503909787.03	-15039.0978703	0.01	1503909787.03	-2200.00000001
0.16	1503909787.53	-15039.0978737	0.0	1503909787.53	-15039.0978753	0.01	1503909787.53	-2200.00000001
0.18	1503909788.03	-15039.0978785	0.0	1503909788.03	-15039.0978803	0.01	1503909788.03	-2200.00000001
